Famille;Nom;Energie (kcal/100g);Protéines (g/100g);Glucides (g/100g);Lipides (g/100g);Sucres (g/100g);Eau (g/100g);;Portion (g) ;Energie (kcal/portion);Protéines (g/portion);Glucides (g/portion);Lipides (g/portion);Eau (g/portion)
Céréales petit déjeuner et barres céréalières;"Barre céréalière ""équilibre"" au chocolat, enrichie en vitamines et minéraux";397;8,5;75,7;6,5;34,7;5;;40;158,8;3,4;30,28;2,6;2
Céréales petit déjeuner et barres céréalières;"Barre céréalière ""équilibre"" aux fruits, enrichie en vitamines et minéraux";382;8;72,8;6,5;33,1;8,9;;40;152,8;3,2;29,12;2,6;3,56
Céréales petit déjeuner et barres céréalières;Barre céréalière à base de céréales pour petit déjeuner et de lait, enrichie en vitamines et minéraux;436;7;72;13,3;37,7;5;;40;174,4;2,8;28,8;5,32;2
Céréales petit déjeuner et barres céréalières;Barre céréalière aux amandes ou noisettes;451;7;63,2;18,5;27,9;7,5;;40;180,4;2,8;25,28;7,4;3
Céréales petit déjeuner et barres céréalières;Barre céréalière aux fruits;391;6,3;69,4;8,91;28,1;10;;40;156,4;2,52;27,76;3,564;4
Céréales petit déjeuner et barres céréalières;Barre céréalière chocolatée;442;6,27;65,7;16,4;30,8;6,22;;40;176,8;2,508;26,28;6,56;2,488
Céréales petit déjeuner et barres céréalières;Barre céréalière diététique hypocalorique;353;27;33,4;12,4;11,5;9,5;;40;141,2;10,8;13,36;4,96;3,8
Céréales petit déjeuner et barres céréalières;Boules de maïs soufflées au miel, enrichies en vitamines et minéraux;386;5;86,7;1,63;32,8;3;;40;154,4;2;34,68;0,652;1,2
Céréales petit déjeuner et barres céréalières;"Céréales pour petit déjeuner ""équilibre"" au chocolat, enrichies en vitamines et minéraux";401;11,8;72,1;6,47;25,6;4,16;;40;160,4;4,72;28,84;2,588;1,664
Céréales petit déjeuner et barres céréalières;"Céréales pour petit déjeuner ""équilibre"" aux fruits, enrichies en vitamines et minéraux";383;14;73,4;2,7;23,6;3;;40;153,2;5,6;29,36;1,08;1,2
Céréales petit déjeuner et barres céréalières;"Céréales pour petit déjeuner ""équilibre"" nature, enrichies en vitamines et minéraux";382;12,7;78,3;1,33;17;2,81;;40;152,8;5,08;31,32;0,532;1,124
