Famille;Nom;Portion (g);Energie (kcal/portion);Protéines (g/portion);Glucides (g/portion);Lipides (g/portion);Eau (g/portion)
Céréales petit déjeuner et barres céréalières;"Barre céréalière ""équilibre"" au chocolat, enrichie en vitamines et minéraux";40;158,8;3,4;30,28;2,6;2
Céréales petit déjeuner et barres céréalières;"Barre céréalière ""équilibre"" aux fruits, enrichie en vitamines et minéraux";40;152,8;3,2;29,12;2,6;3,56
Céréales petit déjeuner et barres céréalières;Barre céréalière à base de céréales pour petit déjeuner et de lait, enrichie en vitamines et minéraux;40;174,4;2,8;28,8;5,32;2
Céréales petit déjeuner et barres céréalières;Barre céréalière aux amandes ou noisettes;40;180,4;2,8;25,28;7,4;3
Céréales petit déjeuner et barres céréalières;Barre céréalière aux fruits;40;156,4;2,52;27,76;3,564;4
Céréales petit déjeuner et barres céréalières;Barre céréalière chocolatée;40;176,8;2,508;26,28;6,56;2,488
Céréales petit déjeuner et barres céréalières;Barre céréalière diététique hypocalorique;40;141,2;10,8;13,36;4,96;3,8
Céréales petit déjeuner et barres céréalières;Boules de maïs soufflées au miel, enrichies en vitamines et minéraux;40;154,4;2;34,68;0,652;1,2
Céréales petit déjeuner et barres céréalières;"Céréales pour petit déjeuner ""équilibre"" au chocolat, enrichies en vitamines et minéraux";40;160,4;4,72;28,84;2,588;1,664
Céréales petit déjeuner et barres céréalières;"Céréales pour petit déjeuner ""équilibre"" aux fruits, enrichies en vitamines et minéraux";40;153,2;5,6;29,36;1,08;1,2
Céréales petit déjeuner et barres céréalières;"Céréales pour petit déjeuner ""équilibre"" nature, enrichies en vitamines et minéraux";40;152,8;5,08;31,32;0,532;1,124
Céréales petit déjeuner et barres céréalières;Céréales pour petit déjeuner chocolatées, non fourrées, enrichies en vitamines et minéraux;40;156,4;1,668;33,28;1,6;1,412
Céréales petit déjeuner et barres céréalières;Céréales pour petit déjeuner fourrées au chocolat ou chocolat0noisettes, enrichies en vitamines et minéraux;40;175,6;3,372;26,88;5,72;1,44
Céréales petit déjeuner et barres céréalières;Céréales pour petit déjeuner fourrées, fourrage autre que chocolat, enrichies en vitamines et minéraux;40;169,2;2,264;25,96;5,8;3,44
Céréales petit déjeuner et barres céréalières;Céréales pour petit déjeuner riches en fibres, enrichies en vitamines et minéraux;40;144,8;4,2;25,68;1,48;1,464
Céréales petit déjeuner et barres céréalières;Flocons d'avoine, cuits à l'eau;40;26,28;0,6;4,6;0,44;33,56
Céréales petit déjeuner et barres céréalières;Grains de blé soufflés au miel ou caramel, enrichis en vitamines et minéraux;40;155,6;2,6;33,68;0,832;0,8
Céréales petit déjeuner et barres céréalières;Grains de blé soufflés chocolatés, enrichis en vitamines et minéraux;40;155,6;3,528;30,2;1,716;1,064
Céréales petit déjeuner et barres céréalières;Muesli croustillant au chocolat, enrichi en vitamines et minéraux;40;181,2;3,4;24,64;6,96;1,104
Céréales petit déjeuner et barres céréalières;Muesli croustillant aux fruits ou fruits secs, enrichi en vitamines et minéraux;40;180,4;3,004;24,6;7,08;1,612
Céréales petit déjeuner et barres céréalières;Muesli floconneux aux fruits ou fruits secs, enrichi en vitamines et minéraux;40;149,6;3,6;27,76;2,112;3,148
Céréales petit déjeuner et barres céréalières;Muesli floconneux aux fruits ou fruits secs, sans sucre ajouté;40;151,2;4,52;24,72;3,052;3,672
Céréales petit déjeuner et barres céréalières;Multi0céréales soufflées ou extrudées, enrichies en vitamines et minéraux;40;166;3;30;3,5;1,2
Céréales petit déjeuner et barres céréalières;Pétales de blé avec noix, noisettes ou amandes, enrichis en vitamines et minéraux;40;155,6;4,16;26,92;2,696;2
Céréales petit déjeuner et barres céréalières;Pétales de blé chocolatés, enrichis en vitamines et minéraux;40;156;1,8;33,48;1,248;0,94
Céréales petit déjeuner et barres céréalières;Pétales de maïs glacés au sucre, enrichis en vitamines et minéraux;40;152,4;2,4;34,2;0,464;1,32
Céréales petit déjeuner et barres céréalières;Pétales de maïs natures, enrichis en vitamines et minéraux;40;151,2;3;33,48;0,3056;1,192
Céréales petit déjeuner et barres céréalières;Riz soufflé au chocolat, enrichi en vitamines et minéraux;40;158;2,104;33,48;1,52;1,112
Céréales petit déjeuner et barres céréalières;Riz soufflé nature, enrichi en vitamines et minéraux;40;154,8;2,672;34,52;0,492;0,896
Charcuteries et salaisons;Andouille;100;221;18,4;0,3;16,2;60,5
Charcuteries et salaisons;Andouille, réchauffée à la poêle;100;270;22,5;0;20;55,5
Charcuteries et salaisons;Andouillette, poêlée;100;276;24,5;1;19,3;48,7
Charcuteries et salaisons;Bloc de foie gras de canard, appertisé;100;511;9;0,85;52,4;36,1
Charcuteries et salaisons;Boudin blanc, poêlé;100;226;10,1;5,63;18,1;61,4
Charcuteries et salaisons;Boudin noir, poêlé;100;261;14,8;1,8;21,6;53,9
Charcuteries et salaisons;Cervelas;100;292;12;1,3;26,5;61,1
Charcuteries et salaisons;Chipolata, cuite;100;338;19;8,38;25,4;45,8
Charcuteries et salaisons;Chorizo;100;477;21,1;3,5;42,1;26,3
Charcuteries et salaisons;Confit de canard;100;217;30,7;0;10,5;57,3
Charcuteries et salaisons;Coppa;100;232;23,9;0,2;15,1;51,9
Charcuteries et salaisons;Filet de bacon, cuit;100;116;23;0,7;2,3;68,2
Charcuteries et salaisons;Foie gras de canard, appertisé ou pasteurisé;100;485;6,9;1,6;50,1;36,5
Charcuteries et salaisons;Fromage de tête;100;168;14,7;0,2;12;66,5
Charcuteries et salaisons;Galantine;100;239;15,9;6,52;16,5;58,4
Charcuteries et salaisons;Jambon cru;100;232;21,1;0,45;16,2;51,4
Charcuteries et salaisons;Jambon cru, fumé;100;225;24;0,1;14,3;52,6
Charcuteries et salaisons;Jambon cuit;100;121;17,9;1,26;4,93;73
Charcuteries et salaisons;Jambon cuit supérieur;100;114;21,1;0,6;3,02;73,4
Charcuteries et salaisons;Jambon cuit supérieur, DD;100;114;20,9;0,425;3,15;73,1
Charcuteries et salaisons;Jambon cuit, de Paris, DD;100;107;18;1,8;3,12;73,2
Charcuteries et salaisons;Jambon cuit, fumé;100;101;19;0,45;2,59;71,7
Charcuteries et salaisons;Jambon de volaille;100;107;21,4;0,5;2,14;72,7
Charcuteries et salaisons;Jambon en croûte;100;246;14,5;14,8;14,2;52,2
Charcuteries et salaisons;Jambon sec, découenné, dégraissé;100;195;26,6;1,77;9,07;54,8
Charcuteries et salaisons;Jambonneau, cuit;100;144;20,6;1,1;6,41;72,2
Charcuteries et salaisons;Lardon fumé, cru;100;264;16,4;0,6;21,8;57,6
Charcuteries et salaisons;Lardon fumé, cuit;100;258;14,7;0;22,1;61,7
Charcuteries et salaisons;Lardon nature, cru;100;266;15,4;0,4;22,5;55,4
Charcuteries et salaisons;Lardon nature, cuit;100;329;23,8;2;25,1;45
Charcuteries et salaisons;Merguez, boeuf et mouton, cuite;100;283;19,8;0,215;22,6;52,4
Charcuteries et salaisons;Mortadelle;100;313;14,1;1,4;27,9;55,1
Charcuteries et salaisons;Mousse de foie;100;317;10,5;3,62;28,9;54,1
Charcuteries et salaisons;Museau de porc vinaigrette;100;281;14,4;0,8;24,5;57,3
Charcuteries et salaisons;Pancetta ou Poitrine roulée sèche;100;355;21,3;0,35;29,8;44,7
Charcuteries et salaisons;Pâté de campagne;100;333;14,7;3,47;28,9;53,7
Charcuteries et salaisons;Pâté de foie de porc;100;346;10,6;2,3;32,7;51,2
Charcuteries et salaisons;Pâté de foie de volaille;100;234;11,9;6;18;60,2
Charcuteries et salaisons;Pâté de lapin;100;274;14,8;2;23;62,1
Charcuteries et salaisons;Pâté en croûte;100;270;11,9;11,8;19,7;47,8
Charcuteries et salaisons;Poitrine de porc, fumée, crue;100;312;16,5;0;27,3;54,1
Charcuteries et salaisons;Quenelle au naturel, appertisée;100;199;4,9;9,33;15,7;68,9
Charcuteries et salaisons;Quenelle de volaille, appertisée;100;185;6,8;9,93;13;67,9
Charcuteries et salaisons;Quenelle en sauce, appertisée;100;151;3,6;8,54;11,3;75,3
Charcuteries et salaisons;Rillettes de viandes autres que pur porc (volaille...);100;424;15,1;0,117;40,3;43,2
Charcuteries et salaisons;Rillettes pur porc;100;410;14,2;0,1;39,2;44,3
Charcuteries et salaisons;Rillettes traditionnelles de porc;100;417;14,3;0,1;39,9;40,5
Charcuteries et salaisons;Rosette ou Fuseau;100;402;24,9;2;32,7;39
Charcuteries et salaisons;Salami;100;482;18,1;1,23;45;31,6
Charcuteries et salaisons;Saucisse alsacienne fumée ou Gendarme;100;351;21;3,31;28,2;44,1
Charcuteries et salaisons;Saucisse cocktail;100;299;12,7;1,35;27;56,8
Charcuteries et salaisons;Saucisse de Francfort;100;293;12,1;1,15;26,7;56,7
